mgrs,Date,Incident Type,Incident Category,Target Category,target,force_type,date_time_occ,mgrs_X,mgrs_Y,City,Province
38SMC6472519407,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 9:10,44.61973337,33.6138538,Ba'quba,Diyala
38SMB52749377,10-May-08,Enemy Action,Attack,Convoy,Coalition,CF,5/10/2008 9:38,44.49189088,33.38216142,Al Sadr,Baghdad
38SMB0526683429,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 9:45,43.98261829,33.2857629,Abu Ghraib,Baghdad
38SMB4178074980,10-May-08,Enemy Action,Sniper Ops,Patrol,Coalition,CF,5/10/2008 9:50,44.37527077,33.21214844,Karkh,Baghdad
38SLB8818687986,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 9:51,43.79865913,33.32522116,Falluja,Anbar
38SMB5447091060,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 9:53,44.510627,33.35779329,Al Sadr,Baghdad
38SMC4265055650,10-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/10/2008 10:00,44.37942073,33.93975885,Balad,Salah al-Din
38SME1442330251,10-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/10/2008 10:04,44.05628292,35.51215575,Kirkuk,Tameem
38SMB2002185144,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 10:30,44.14090891,33.30242632,Abu Ghraib,Baghdad
38SMB5187293534,10-May-08,Enemy Action,Direct Fire,Base,Coalition,CF,5/10/2008 10:38,44.48257163,33.37999428,Al Sadr,Baghdad
38SLF3212318351,10-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/10/2008 10:40,43.13044049,36.29554358,Mosul,Ninewa
38SMB4737093520,10-May-08,Enemy Action,Direct Fire,Security,Coalition,CF,5/10/2008 10:52,44.43417302,33.37965681,Al Sadr,Baghdad
38SMB3999,10-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/10/2008 11:00,44.34382018,33.42863921,Khadamiya,Baghdad
38SMD1588088626,10-May-08,Enemy Action,Indirect Fire,Base,Host Nation,ISF,5/10/2008 11:00,44.07662564,35.13699862,Kirkuk,Tameem
38SMC6620620026,10-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/10/2008 11:03,44.63567486,33.6194848,Al-Muqdadiya,Diyala
38SMC9786067940,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 11:13,44.97681256,34.05216323,Khanaqin,Diyala
38SMB5439090910,10-May-08,Enemy Action,Direct Fire,Transport,Coalition,CF,5/10/2008 11:15,44.50977475,33.35643697,Al Sadr,Baghdad
38SLB9990098500,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/10/2008 11:50,43.9233274,33.42119225,Falluja,Anbar
38SMB5477091500,10-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/10/2008 11:50,44.51382934,33.36177455,Al Sadr,Baghdad
38SLF272241,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 11:55,43.07436878,36.34647446,Mosul,Ninewa
38SMB4587,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,,5/10/2008 12:10,44.40909165,33.32073163,Al Resafa,Baghdad
38SMB5565093900,10-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/10/2008 12:12,44.52316995,33.38345809,Al Sadr,Baghdad
38SMB1894385805,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,5/10/2008 12:19,44.12927153,33.30830722,Abu Ghraib,Baghdad
38SMB5519092200,10-May-08,Explosive Hazard,IED Explosion,Recovery,Coalition,CF,5/10/2008 12:25,44.51830893,33.36810582,Al Sadr,Baghdad
38SMB4696,10-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/10/2008 12:30,44.41929603,33.40195677,Adhamiya,Baghdad
38RQU703807,10-May-08,Explosive Hazard,IED Explosion,Convoy,Host Nation,ISF,5/10/2008 12:30,47.8170446,30.52825764,Basrah,Basrah
38SMB5585,10-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/10/2008 12:30,44.51662539,33.30315698,Al Sadr,Baghdad
38SMB4784095460,10-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/10/2008 12:32,44.43911344,33.39717734,Al Sadr,Baghdad
38SMB5480091100,10-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/10/2008 12:40,44.51417185,33.358168,Al Sadr,Baghdad
38SLF40702435,10-May-08,Explosive Hazard,Unknown Explosion,Patrol,Host Nation,CF,5/10/2008 12:52,43.22468961,36.3510565,Al-Hamdaniya,Ninewa
38SMB0526683429,10-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,None Selected,5/10/2008 12:58,43.98261829,33.2857629,Abu Ghraib,Baghdad
